question_id,feature0,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,feature21,feature22,feature23,feature24,feature25,feature26,feature27,feature28,feature29,feature30,feature31,ACCEPTED_ANSWER_VOTE_RATIO_FEATURE_SCORER,ALL_ANSWERS_VOTE_RATIO_FEATURE_SCORER,AUTHOR_REPUTATION_FEATURE_SCORER,NUMBER_OF_ANSWERS_FEATURE_SCORER,PAGE_VIEWS_FEATURE_SCORER,VOTE_RATIO_FEATURE_SCORER,ground_truth
1,0.0,0.0,0.0,0.0,0.021789799,0.0,0.0,0.0,0.025121612,0.0,0.0,0.0,0.74709886,0.5593328,0.17167139,0.5593328,0.034281466,0.0,0.0,0.0,0.12359661,0.036986955,0.013034019,0.036986955,0.077407375,0.037181262,0.013691683,0.037181262,1.0886621,33.0,0.02898753687325229,0.3111177,4.0,4.0,143.0,1.0,83.0,8.0,0
1,0.0,0.0,0.0,0.0,0.0026014529,0.0,0.0,0.0,0.0029830667,0.0,0.0,0.0,0.74709886,0.5593328,0.17167139,0.5593328,0.004293844,0.0,0.0,0.0,0.091499574,0.047407687,0.013404729,0.047407687,0.106361516,0.08481765,0.021478657,0.08481765,1.0886621,43.0,0.022472855852058594,0.29197046,3.0,3.0,33.0,1.0,114.0,3.0,0
1,0.0,0.0,0.0,0.0,0.062181167,0.007881429,0.010647078,0.007881429,0.07209559,0.0090352055,0.012210614,0.0090352055,0.5976791,0.44746622,0.13733712,0.44746622,0.09468883,0.011797924,0.015195965,0.011797924,0.09442787,0.038956862,0.018074933,0.038956862,0.05911166,0.0,0.02164845,0.0,0.6123724,46.0,0.021053409197832343,0.29108885,3.0,3.0,175.0,1.0,226.0,3.0,0
1,0.0,0.0,0.0,0.0,0.015717205,0.004037653,0.0,0.004037653,0.017803581,0.0045341644,0.0,0.0045341644,0.7899387,0.10748769,0.0,0.10748769,0.02383021,0.0060002944,0.0,0.0060002944,0.13718489,0.030544272,0.005478672,0.05551827,0.18973121,0.017808922,0.016768819,0.057987094,1.7010344,21.0,0.04445176257083384,0.35156003,3.0,3.0,1962.0,1.0,188.0,2.0,0
1,0.0,0.0,0.0,0.0,0.0044596335,0.0,0.0,0.0,0.0051138285,0.0,0.0,0.0,0.8660166,0.10748769,0.0,0.10748769,0.007360876,0.0,0.0,0.0,0.06588259,0.010012941,0.0,0.010012941,0.044673715,0.0,0.0,0.0,0.6123724,34.0,0.02817087696669632,0.30936018,5.0,5.0,687.0,1.0,980.0,5.0,0
1,0.0,0.0,0.0,0.0,0.062496103,0.007881429,0.0,0.007881429,0.07182484,0.0090352055,0.0,0.0090352055,0.5603062,0.0,0.0,0.0,0.09660986,0.011797924,0.0,0.011797924,0.11422151,0.011087841,0.006251049,0.011087841,0.11343101,0.0,0.019453855,0.0,1.0886621,39.0,0.0246926125903715,0.29887658,13.0,13.0,213.0,1.0,1009.0,12.0,0
1,0.0,0.0,0.0,0.0,0.09142215,0.070191294,0.021294156,0.070191294,0.10593227,0.08048627,0.024421228,0.08048627,0.74709886,0.5593328,0.17167139,0.5593328,0.0,0.0,0.0,0.0,0.16152215,0.07927427,0.024501368,0.07927427,0.05973249,0.0,0.0,0.0,1.0886621,49.0,0.019802627296179712,0.2876641,0.0,1.0,109.0,1.0,45.0,2.0,0
1,0.0,0.0,0.0,0.0,0.122775644,0.009007348,0.0067807063,0.024824392,0.14113696,0.01032595,0.0076738307,0.028298985,0.40418014,0.0,0.0,0.0,0.18527389,0.013483342,0.009821466,0.03708647,0.21811652,0.013859801,0.01235472,0.040390186,0.11280176,0.0,0.0,0.0,1.7010344,26.0,0.03636764417087485,0.33222777,8.0,8.0,566.0,1.0,1220.0,5.0,0
1,0.0,0.0,0.0,0.0,0.05563768,0.0,0.0,0.0,0.06389094,0.0,0.0,0.0,0.7899387,0.10748769,0.0,0.10748769,0.08615272,0.0,0.0,0.0,0.1517877,0.011561949,0.0,0.0123487925,0.09989533,0.050371237,0.0,0.053095944,1.7010344,14.0,0.06453852113757116,0.3709913,224.0,168.0,1794.0,1.0,17183.0,156.0,0
1,0.0,0.0,0.0,0.0,0.018127616,0.0,0.0,0.0,0.020713802,0.0,0.0,0.0,1.2202212,0.0,1.1532038,0.0,0.0,0.0,0.0,0.0,0.09161767,0.0,0.063946106,0.0,0.038886618,0.0,0.016236339,0.0,0.6123724,19.0,0.04879016416943201,0.36076427,0.0,3.0,106.0,1.0,90.0,1.0,0
